"rt","stimulus","key_press","subj_id","test_part","trial_type","trial_index","time_elapsed","internal_node_id","trial_num","image_1","image_2","keyword","responses","question_order","success","screen_width","screen_height","completion_code","resp_age","resp_gender","resp_performance","resp_strategies","resp_experiment","resp_experience","resp_final","resp_attention"
"1365","<p>For the first round, we will just be collecting your initial guesses as to what you think a word means. Each time, you will see a word, and two pictures.  For now, your task is just to identify which picture matches the word.  To select which picture, you can press the <b>F key</b> for the left picture, and the <b>J key</b> for the right picture.  It is okay to guess for now -- but eventually, your goal is to arrive at which picture matches each word.</p></div>","32","jo_1639602257750","instruct_prompt","jo-html-keyboard-response","0","2370","0.0-0.0","","","","","","","","","","","","","","","","","",""
"3672","Look, it's a heek.<div style='width: 600px;'><div style='float: left'><img src=images/filler1.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/heek.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","active_trial","html-keyboard-response","1","6047","0.0-1.0","0","images/filler1.png","images/heek.png","heek","images/heek.png","","","","","","","","","","","","",""
"1388","Look, it's a toop.<div style='width: 600px;'><div style='float: left'><img src=images/filler2.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/toop.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","70","jo_1639602257750","active_trial","html-keyboard-response","2","7439","0.0-2.0","1","images/filler2.png","images/toop.png","toop","images/filler2.png","","","","","","","","","","","","",""
"1240.0000000000018","Look, it's a moke.<div style='width: 600px;'><div style='float: left'><img src=images/dax.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/moke.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","active_trial","html-keyboard-response","3","8682","0.0-3.0","2","images/dax.png","images/moke.png","moke","images/moke.png","","","","","","","","","","","","",""
"908","Look, it's a wode.<div style='width: 600px;'><div style='float: left'><img src=images/blicket.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/wode.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","70","jo_1639602257750","active_trial","html-keyboard-response","4","9593","0.0-4.0","3","images/blicket.png","images/wode.png","wode","images/blicket.png","","","","","","","","","","","","",""
"722","Look, it's a dax.<div style='width: 600px;'><div style='float: left'><img src=images/wode.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/dax.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","70","jo_1639602257750","active_trial","html-keyboard-response","5","10318","0.0-5.0","4","images/wode.png","images/dax.png","dax","images/wode.png","","","","","","","","","","","","",""
"421.9999999999982","Look, it's a blicket.<div style='width: 600px;'><div style='float: left'><img src=images/moke.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/blicket.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","active_trial","html-keyboard-response","6","10745","0.0-6.0","5","images/moke.png","images/blicket.png","blicket","images/blicket.png","","","","","","","","","","","","",""
"332","<p>For this second round, XXX.</p></div>","32","jo_1639602257750","instruct_prompt","jo-html-keyboard-response","7","12081","0.0-7.0","","","","","","","","","","","","","","","","","",""
"1554","Look, it's a wode.<div style='width: 600px;'><div style='float: left'><img src=images/heek.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/wode.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","8","13636","0.0-8.0","0","images/heek.png","images/wode.png","wode","images/wode.png","","","","","","","","","","","","",""
"265.99999999999636","Recall toop.","32","jo_1639602257750","recall_trial","jo-html-keyboard-response","9","14907","0.0-9.0","0","","","","","","","","","","","","","","","","",""
"671","Look, it's a blicket.<div style='width: 600px;'><div style='float: left'><img src=images/dax.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/blicket.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","10","15582","0.0-10.0","1","images/dax.png","images/blicket.png","blicket","images/blicket.png","","","","","","","","","","","","",""
"928","Look, it's a dax.<div style='width: 600px;'><div style='float: left'><img src=images/blicket.png></img><p class='small'><strong>Press the F key</strong></p></div><div style='float: right'><img src=images/dax.png></img><p class='small'><strong>Press the J key</strong></p></div></div>","74","jo_1639602257750","passive_trial","html-keyboard-response","11","16514","0.0-11.0","2","images/blicket.png","images/dax.png","dax","images/dax.png","","","","","","","","","","","","",""
